idVehiculo,tipoInicio,numeroInicio,tipoFin,numeroFin
5,Almacén,11,Cliente,11
5,Cliente,6,Cliente,18
5,Cliente,8,Cliente,5
5,Cliente,3,Almacén,3
6,Almacén,3,Cliente,3
6,Cliente,5,Cliente,8
6,Cliente,22,Cliente,17
6,Cliente,9,Almacén,9
7,Almacén,9,Cliente,9
7,Cliente,1,Cliente,15
7,Cliente,16,Cliente,10
7,Cliente,18,Cliente,6
7,Cliente,20,Cliente,12
7,Cliente,23,Cliente,14
7,Cliente,2,Almacén,2
8,Almacén,2,Cliente,2
8,Cliente,4,Cliente,1
8,Cliente,14,Cliente,23
8,Cliente,7,Almacén,7
9,Almacén,7,Cliente,7
9,Cliente,10,Cliente,16
9,Cliente,12,Cliente,20
9,Cliente,15,Cliente,4
9,Cliente,11,Almacén,11
10,Almacén,7,Cliente,22
10,Cliente,17,Almacén,5
11,Almacén,11,Cliente,13
11,Cliente,21,Cliente,19
11,Cliente,24,Almacén,12
12,Almacén,12,Cliente,24
12,Cliente,19,Cliente,21
12,Cliente,13,Almacén,11
